央视频道,#genre#
青海卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225674/10000100000000060000000000009781_0.smil
内蒙古卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225676/10000100000000060000000000009779_0.smil
西藏卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225677/10000100000000060000000000009777_0.smil
新疆卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225679/10000100000000060000000000009780_0.smil
厦门卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225678/10000100000000060000000000009830_0.smil
兵团卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221225683/10000100000000060000000000009832_0.smil
三沙卫视,rtsp://10.254.192.94/PLTV/88888888/224/3221226464/10000100000000060000000002828394_0.smil


本省频道,#genre#
河南卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225819/10000100000000060000000000154392_0.smil
河南都市频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225836/10000100000000060000000000154415_0.smil
河南民生频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225838/10000100000000060000000000154414_0.smil
河南法治频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225818/10000100000000060000000000154393_0.smil
河南电视剧频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225837/10000100000000060000000000154413_0.smil
河南新闻频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225817/10000100000000060000000000154394_0.smil
河南公共频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225824/10000100000000060000000000154387_0.smil
河南乡村频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225816/10000100000000060000000000154395_0.smil
河南国际频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225823/10000100000000060000000000154388_0.smil
河南文物宝库,rtsp://10.254.216.130/PLTV/88888888/224/3221225821/10000100000000060000000000154390_0.smil
河南梨园频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225822/10000100000000060000000000154389_0.smil
郑州新闻综合,rtsp://10.254.216.130/PLTV/88888888/224/3221225828/10000100000000060000000000154403_0.smil
郑州商都频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225827/10000100000000060000000000154404_0.smil
郑州文体频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225826/10000100000000060000000000154405_0.smil
